,CRSHDATE,CRSHTIME,LATDECDG,LONDECDG,ANMLTY01,ANMLTY07,countyname,year,Road
31194,2018-08-26,2040,45.748636195,-89.32998071,Other Non Domesticated,,Oneida,2018,State Highway017
31299,2018-08-25,1540,44.234944704,-88.36306779,Other Non Domesticated,,Calumet,2018,S LAKE PARK RD (1) - Calumet
31493,2018-09-04,1639,43.821676592,-87.77121906,Other Non Domesticated,,Sheboygan,2018,Interstate043
31522,2018-09-07,415,42.567949005,-88.0690841,Other Non Domesticated,,Kenosha,2018,State Highway050
31555,2018-09-07,2225,45.003410339,-90.26677704,Other Non Domesticated,,Marathon,2018,County HighwayA
31602,2018-09-08,2020,43.251201007,-89.88023313,Other Non Domesticated,,Sauk,2018,County HighwayB
31650,2018-09-08,1100,44.675376675,-87.55140733,Other Non Domesticated,,Door,2018,County HighwayX
31905,2018-09-09,1230,43.583811595,-89.51589203,Other Non Domesticated,,Columbia,2018,State Highway127
32038,2018-09-18,2127,45.042881419,-88.41518426,Other Non Domesticated,,Oconto,2018,State Highway032
32169,2018-09-21,2225,45.058842809,-89.15332922,Other Non Domesticated,,Langlade,2018,US Highway045
32366,2018-09-19,2147,43.913647419,-90.55377641,Other Non Domesticated,,Monroe,2018,INDIGO AVE - Monroe
32884,2018-09-22,1940,42.582083277,-90.07714724,Other Non Domesticated,,Lafayette,2018,State Highway011
33033,2018-10-03,908,44.987376908,-89.42069145,Other Non Domesticated,,Marathon,2018,County HighwayZ
33217,2018-10-05,2048,45.1774604,-89.14550632,Other Non Domesticated,,Langlade,2018,US Highway045
33272,2018-10-10,622,44.886780867,-88.0396838,Other Non Domesticated,,Oconto,2018,State Highway022
33448,2018-10-13,120,42.702878587,-90.52642082,Other Non Domesticated,,Grant,2018,US Highway151
33555,2018-10-09,2122,43.469518947,-88.24193003,Other Non Domesticated,,Washington,2018,KETTLE VIEW DR - Washington
33606,2018-10-14,2034,44.133211715,-87.73147227,Other Non Domesticated,,Manitowoc,2018,County HighwayP
33630,2018-10-15,1830,43.711326926,-87.84591207,Other Non Domesticated,,Sheboygan,2018,State Highway028
34571,2018-10-08,2018,45.617434738,-89.49262349,Other Non Domesticated,,Oneida,2018,US Highway008
34611,2018-10-24,2101,45.103851306,-88.16333711,Other Non Domesticated,,Oconto,2018,GOLDHORN RD - Oconto
34612,2018-10-24,2101,45.10385131,-88.16333726,Other Non Domesticated,,Oconto,2018,GOLDHORN RD - Oconto
34724,2018-10-22,1727,43.205806784,-88.74645111,Other Non Domesticated,,Dodge,2018,MARY KNOLL LN - Dodge
35053,2018-10-26,659,43.866999949,-88.46335776,Other Non Domesticated,,Fond du Lac,2018,US Highway045
35179,2018-10-13,1004,43.149432356,-89.4240921,Other Non Domesticated,,Dane,2018,County HighwayM
36168,2018-11-01,456,43.16728,-91.12659,Other Non Domesticated,,Crawford,2018,County HighwayD
36267,2018-11-04,2340,43.94777,-89.62785,Other Non Domesticated,,Adams,2018,County HighwayG
36282,2018-11-03,1747,44.07878,-87.83366,Other Non Domesticated,,Manitowoc,2018,US Highway151
36304,2018-11-03,626,44.89536,-88.20983,Other Non Domesticated,,Oconto,2018,State Highway022
37030,2018-11-09,730,42.65918,-90.65262,Other Non Domesticated,,Grant,2018,US Highway061
37045,2018-11-08,1730,43.62443,-90.87651,Other Non Domesticated,,Vernon,2018,US Highway014
37245,2018-11-10,2100,44.75309,-88.46713,Other Non Domesticated,,Shawano,2018,OAKCREST DR - Shawano
38257,2018-11-07,2040,43.4232,-88.38273,Other Non Domesticated,,Washington,2018,State Highway033
39241,2018-11-26,510,44.34216,-90.4495,Other Non Domesticated,,Jackson,2018,State Highway054
39428,2018-11-21,2015,42.53572,-90.38386,Other Non Domesticated,,Lafayette,2018,County HighwayW
40010,2018-12-04,1910,43.10636,-90.3685,Other Non Domesticated,,Iowa,2018,State Highway080
40144,2018-12-06,2202,42.7629,-88.42951,Other Non Domesticated,,Walworth,2018,Interstate043
40408,2018-12-08,452,43.19987,-88.13122,Other Non Domesticated,,Washington,2018,Interstate041
40459,2018-12-04,509,42.78207,-88.38956,Other Non Domesticated,,Walworth,2018,Interstate043
40481,2018-12-16,1822,44.65618,-90.33695,Other Non Domesticated,,Clark,2018,County HighwayH
40491,2018-12-16,959,45.76441,-89.57532,Other Non Domesticated,,Oneida,2018,State Highway047
40594,2018-12-13,2140,43.38851,-89.46574,Other Non Domesticated,,Columbia,2018,Interstate039
40863,2018-12-19,1630,42.77118,-88.16065,Other Non Domesticated,,Racine,2018,County HighwayK
41270,2018-12-18,1503,45.32981,-89.6766,Other Non Domesticated,,Lincoln,2018,US Highway051
41278,2018-12-25,721,45.1491,-89.7707,Other Non Domesticated,,Lincoln,2018,County HighwayZ
41328,2018-12-24,2107,43.08601,-88.77498,Other Non Domesticated,,Jefferson,2018,Interstate094
41623,2019-03-30,2345,45.2062,-90.35441,Other Non Domesticated,,Taylor,2019,County HighwayM
41672,2019-04-15,2111,44.58224,-91.02516,Other Non Domesticated,,Jackson,2019,US Highway010
41718,2019-02-21,2053,43.91624,-90.94641,Other Non Domesticated,,La Crosse,2019,State Highway016
41935,2019-06-20,1747,43.89905,-91.07483,Other Non Domesticated,,La Crosse,2019,County HighwayC
42037,2019-08-02,2115,42.98013,-89.07193,Other Non Domesticated,,Dane,2019,State Highway073
42378,2019-10-13,1935,43.20124,-89.26383,Other Non Domesticated,,Dane,2019,County HighwayC
42402,2019-10-16,1605,46.03221,-91.84021,Other Non Domesticated,,Washburn,2019,US Highway053
42650,2019-12-11,1924,44.58177,-88.76082,Other Non Domesticated,,Waupaca,2019,US Highway045
42777,2019-01-08,709,45.80543,-89.3197,Other Non Domesticated,,Oneida,2019,State Highway017
42780,2019-01-05,726,45.72884,-89.33979,Other Non Domesticated,,Oneida,2019,State Highway017
42824,2019-04-02,1020,42.51835,-88.97562,Other Non Domesticated,,Rock,2019,Interstate039
42962,2019-05-22,2145,45.81534,-92.03274,Other Non Domesticated,,Burnett,2019,State Highway070
43002,2019-05-30,1800,43.2211,-88.45833,Other Non Domesticated,,Dodge,2019,County HighwayP
43023,2019-05-10,2141,42.66724,-90.41267,Other Non Domesticated,,Lafayette,2019,State Highway081
43177,2019-07-13,2337,42.98191,-89.07192,Other Non Domesticated,,Dane,2019,State Highway073
43203,2019-08-07,1336,44.80409,-88.89353,Other Non Domesticated,,Shawano,2019,State Highway029
43209,2019-08-03,1636,42.70492,-89.48073,Other Non Domesticated,,Green,2019,County HighwayF
43356,2019-07-09,235,43.97297,-88.11243,Other Non Domesticated,,Calumet,2019,State Highway032
43453,2019-10-16,602,43.10564,-89.64845,Other Non Domesticated,,Dane,2019,County HighwayP
43637,2019-11-27,1920,43.97636,-91.15803,Other Non Domesticated,,La Crosse,2019,County HighwayM
43680,2019-11-12,740,43.87788,-90.73146,Other Non Domesticated,,Monroe,2019,State Highway071
43751,2019-12-10,2036,43.08248,-89.07952,Other Non Domesticated,,Dane,2019,County HighwayBB
43780,2019-10-31,956,45.48558,-89.69478,Other Non Domesticated,,Lincoln,2019,US Highway051
43887,2019-01-02,1828,45.5496,-89.87246,Other Non Domesticated,,Lincoln,2019,US Highway008
44787,2019-11-15,1900,44.78395,-88.6574,Other Non Domesticated,,Shawano,2019,State Highway029
45071,2019-04-03,620,43.80474,-87.86344,Other Non Domesticated,,Sheboygan,2019,PLAYBIRD RD - Sheboygan
45156,2019-04-22,1622,43.02773,-87.99369,Other Non Domesticated,,Milwaukee,2019,S 65TH ST - Milwaukee
45177,2019-05-15,1025,46.36006,-91.7671,Other Non Domesticated,,Douglas,2019,County HighwayA
45289,2019-04-14,500,42.56429,-89.93155,Other Non Domesticated,,Lafayette,2019,State Highway011
45455,2019-05-12,2345,44.88669,-89.45768,Other Non Domesticated,,Marathon,2019,State Highway029
45557,2019-08-18,1235,45.16524,-89.8376,Other Non Domesticated,,Lincoln,2019,State Highway064
45626,2019-10-16,2006,44.0188,-88.52747,Other Non Domesticated,,Winnebago,2019,BOWEN ST - Winnebago
45869,2019-09-03,9999,43.21,-90.35985,Other Non Domesticated,,Richland,2019,State Highway060
46298,2019-03-19,1551,43.97503,-89.15616,Other Non Domesticated,,Green Lake,2019,County HighwayE
46519,2019-06-07,502,44.28374,-91.0311,Other Non Domesticated,,Jackson,2019,County HighwayX
46639,2019-05-19,2027,44.93686,-91.19307,Other Non Domesticated,,Chippewa,2019,State Highway029
46645,2019-07-10,2305,43.69909,-88.52283,Other Non Domesticated,,Fond du Lac,2019,County HighwayD
46687,2019-08-09,1723,43.0965,-88.28048,Other Non Domesticated,,Waukesha,2019,State Highway016
47326,2019-03-23,1703,43.4234,-88.33597,Other Non Domesticated,,Washington,2019,Interstate041
47603,2019-05-08,1835,43.39213,-88.19171,Other Non Domesticated,,Washington,2019,US Highway045
47754,2019-05-26,2214,42.66785,-90.326,Other Non Domesticated,,Lafayette,2019,State Highway081
47778,2019-07-01,607,43.83375,-87.93499,Other Non Domesticated,,Sheboygan,2019,County HighwayA
47826,2019-06-25,11,44.50828,-87.70427,Other Non Domesticated,,Kewaunee,2019,County HighwayAB
